genre,name,number_review,sold_number
"trái cây,Sách văn học",Yêu Những Điều Không Hoàn Hảo,(Xem 1582 đánh giá),Đã bán 1000+
"trái cây,Sách văn học",Bố Già (Mario Puzo),(Xem 1438 đánh giá),Đã bán 1000+
"trái cây,Sách kỹ năng sống",Bạn Đắt Giá Bao Nhiêu?,(Xem 2994 đánh giá),Đã bán 1000+
"trái cây,Sách kỹ năng sống",OSHO - Yêu - Being In Love,(Xem 867 đánh giá),Đã bán 1000+
"trái cây,Sách kinh tế",Người Giàu Có Nhất Thành Babylon (Tái Bản 2020),(Xem 1003 đánh giá),Đã bán 1000+
"trái cây,Sách kinh tế",Bộ sách Làm Giàu Từ Chứng Khoán (How To Make Money In Stock) phiên bản mới + Hướng Dẫn Thực Hành CANSLIM Cho Người Mới Bắt Đầu,(Xem 1047 đánh giá),Đã bán 1000+
"trái cây,Sách kỹ năng sống","Càng Kỷ Luật, Càng Tự Do",(Xem 1489 đánh giá),Đã bán 1000+
"trái cây,Sách kinh tế",Payback Time - Ngày Đòi Nợ,(Xem 2364 đánh giá),Đã bán 1000+
"trái cây,Sách Kiến Thức Tổng Hợp",Những Tù Nhân Của Địa Lý,(Xem 885 đánh giá),Đã bán 1000+
"trái cây,Sách kỹ năng sống",Đắc Nhân Tâm (Bìa Cứng) - Tái Bản,(Xem 102 đánh giá),Đã bán 462
"trái cây,Sách văn học","Có Một Ngày, Bố Mẹ Sẽ Già Đi",(Xem 104 đánh giá),Đã bán 411
